640,1.1602,0.27775,0.014165
4,18,-20,18,-18,20,-18,20,-20,0.94798,0.21075,0.95711,0.18649,1.0612,0.18169,1.0518,0.20527,0.014134
4,18,18,18,20,20,18,20,20,0.94984,-0.18784,0.94036,-0.21206,1.0539,-0.18266,1.0443,-0.20684,0.014109
4,-20,18,-18,18,-18,20,-20,20,-1.0521,-0.18991,-0.94805,-0.19466,-0.93897,-0.21891,-1.0428,-0.21348,0.014131
4,-20,-18,-18,-20,-18,-18,-20,-20,-1.0444,0.17356,-0.93038,0.20342,-0.94032,0.17917,-1.0342,0.19713,0.014155
5,-20,-16,-20,-12,-18,-16,-16,-16,-16,-12,-1.0556,0.14974,-1.0842,0.10267,-0.95276,0.15462,-0.84746,0.16101,-0.88061,0.10891,0.014108
4,-20,-12,-20,-8,-16,-12,-16,-8,-1.0842,0.10267,-1.1151,0.060224,-0.88061,0.10891,-0.92514,0.058899,0.014076
4,-20,-8,-20,-4,-16,-8,-16,-4,-1.1151,0.060224,-1.1403,0.023939,-0.92514,0.058899,-0.96994,0.019363,0.014012
4,-20,-4,-20,0,-16,-4,-16,0,-1.1403,0.023939,-1.1504,-0.0081694,-0.96994,0.019363,-0.99038,-0.0073117,0.013809
4,-20,0,-20,4,-16,0,-16,4,-1.1504,-0.0081694,-1.142,-0.040279,-0.99038,-0.0073117,-0.97165,-0.033986,0.013803
4,-20,4,-20,8,-16,4,-16,8,-1.142,-0.040279,-1.1186,-0.076567,-0.97165,-0.033986,-0.92857,-0.073524,0.014015
